ID,Alternative,FullName,img,ismember
Tommy Dang,Tommy Dang,Tommy Dang,images/people/tommy.jpg,1
Vinh Nguyen,Vinh Nguyen,Vinh The Nguyen,images/people/vinh.jpg,1
Vung Pham,Vung Pham,Pham Van Vung,images/people/vung.jpg,1
Huyen Nguyen,Huyen N.,Huyen Ngoc Nguyen,images/people/huyen.jpg,1
Ngan Nguyen,Ngan N.,Ngan Vuong Thuy Nguyen,images/people/ngan.png,1
Bao Nguyen,Bao Nguyen,Bao Dien Quoc nguyen,,1
Hao Van,Hao Van,Hao Van,,1
Nhat Le,Nhat Le,Nhat Le,images/people/nhat.jpg,1
Lino Virgen,Lino Virgen,Lino Virgen,images/people/VirgenGraciaLino.png,1
Ghazanfar Ali,Ghazanfar Ali,Ghazanfar Ali,images/people/other/ali.jpg,0
Yong Chen ,Yong Chen ,Yong Chen ,images/people/other/chen.jpg,0
Akbar Namin,Akbar Namin,Akbar Namin,images/people/other/namin.jpg,0
Fang Jin,Fang Jin,Fang Jin,images/people/other/jin.jpg,0
Paul Murray,Paul Murray,Paul Murray,images/people/other/murray.jpg,0
Ronak Etemadpour,Ronak Etemadpour,Ronak Etemadpour,images/people/other/etemadpour.jpg,0
Angus Forbes,Angus Forbes,Angus Forbes,images/people/other/forbes.jpg,0
Abdullah Karim,Abdullah Karim,Abdullah Karim,images/people/other/akarim_2014.jpg,0
Venki Uddameri,Venki Uddameri,Venki Uddameri,images/people/other/Uddameri.jpg,0
Tuan Dang,Tuan Dang,Tuan Dang,images/people/tommy.jpg,0
Hong Cui,Hong Cui,Hong Cui,images/people/other/hong-cui.jpg,0
Nick Pendar,Nick Pendar,Nick Pendar,images/people/other/pendar.jpg,0
Nico Franz,Nico Franz,Nico Franz,images/people/other/Franz.jpg,0
Bertram Ludascher,Bertram Ludascher,Bertram Ludascher,images/people/other/Ludascher.jpg,0
Jillian Aurisano,Jillian Aurisano,Jillian Aurisano,images/people/other/Aurisano.jpg,0
Leland Wilkinson,Leland Wilkinson,Leland Wilkinson,images/people/other/Wilkinson.jpg,0
Anushka Anand,Anushka Anand,Anushka Anand,images/people/other/anushka_anand.jpeg,0
Kathleen Jeffery,Kathleen Jeffery,Kathleen Jeffery,images/people/other/kathleen_jeffery.jpeg,0
Caleb Trujillo,Caleb Trujillo,Caleb Trujillo,images/people/other/caleb_t.jpeg,0
Kevin Wee,Kevin Wee,Kevin Wee,images/people/other/kevin_wee.jpg,0
Dy Le,Dy Le,Dy D. Le,images/people/other/dy_le.png,0
